action_type,combined_shot_type,loc_x,loc_y,period,playoffs,season,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,opponent,month,time_remaining,home_play
Jump Shot,Jump Shot,"(-170.32, -150.4]","(-10.6, 22.8]",1,0,2000-01,15,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,POR,10,622,0
Jump Shot,Jump Shot,"(-110.56, -90.64]","(123.0, 156.4]",1,0,2000-01,16,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,POR,10,465,0
Jump Shot,Jump Shot,"(128.48, 148.4]","(156.4, 189.8]",1,0,2000-01,22,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,POR,10,412,0
Driving Dunk Shot,Dunk,"(-10.96, 8.96]","(-10.6, 22.8]",2,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,POR,10,379,0
Jump Shot,Jump Shot,"(-150.4, -130.48]","(-44.835, -10.6]",3,0,2000-01,14,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,POR,10,572,0
Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",3,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,POR,10,532,0
Jump Shot,Jump Shot,"(-70.72, -50.8]","(89.6, 123.0]",3,0,2000-01,12,1.0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,POR,10,372,0
Running Jump Shot,Jump Shot,"(-50.8, -30.88]","(123.0, 156.4]",3,0,2000-01,12,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,POR,10,216,0
Jump Shot,Jump Shot,"(-110.56, -90.64]","(223.2, 256.6]",3,0,2000-01,25,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,POR,10,116,0
Jump Shot,Jump Shot,"(108.56, 128.48]","(123.0, 156.4]",1,0,2000-01,17,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,UTA,11,660,1
Running Jump Shot,Jump Shot,"(-70.72, -50.8]","(89.6, 123.0]",1,0,2000-01,12,1.0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,UTA,11,429,1
Jump Shot,Jump Shot,"(-110.56, -90.64]","(-10.6, 22.8]",1,0,2000-01,9,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,UTA,11,164,1
Jump Shot,Jump Shot,"(-30.88, -10.96]","(22.8, 56.2]",1,0,2000-01,5,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,UTA,11,76,1
Jump Shot,Jump Shot,"(48.8, 68.72]","(189.8, 223.2]",1,0,2000-01,20,0.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,UTA,11,48,1
Jump Shot,Jump Shot,"(-130.48, -110.56]","(223.2, 256.6]",2,0,2000-01,25,1.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,UTA,11,530,1
Jump Shot,Jump Shot,"(-150.4, -130.48]","(89.6, 123.0]",3,0,2000-01,16,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,UTA,11,689,1
Jump Shot,Jump Shot,"(-10.96, 8.96]","(123.0, 156.4]",3,0,2000-01,14,0.0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,UTA,11,608,1
Jump Shot,Jump Shot,"(128.48, 148.4]","(123.0, 156.4]",3,0,2000-01,18,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,UTA,11,544,1
Running Jump Shot,Jump Shot,"(-30.88, -10.96]","(89.6, 123.0]",3,0,2000-01,11,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,UTA,11,477,1
Running Jump Shot,Jump Shot,"(-110.56, -90.64]","(123.0, 156.4]",3,0,2000-01,18,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,UTA,11,347,1
Running Jump Shot,Jump Shot,"(-50.8, -30.88]","(56.2, 89.6]",3,0,2000-01,7,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,UTA,11,311,1
Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",3,0,2000-01,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,UTA,11,156,1
Jump Shot,Jump Shot,"(-70.72, -50.8]","(189.8, 223.2]",3,0,2000-01,20,0.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,UTA,11,124,1
Jump Shot,Jump Shot,"(-190.24, -170.32]","(156.4, 189.8]",3,0,2000-01,26,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,UTA,11,30,1
Jump Shot,Jump Shot,"(68.72, 88.64]","(156.4, 189.8]",4,0,2000-01,19,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,UTA,11,499,1
Jump Shot,Jump Shot,"(-10.96, 8.96]","(56.2, 89.6]",4,0,2000-01,8,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,UTA,11,382,1
Running Jump Shot,Jump Shot,"(108.56, 128.48]","(-10.6, 22.8]",4,0,2000-01,12,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,UTA,11,80,1
Jump Shot,Jump Shot,"(108.56, 128.48]","(22.8, 56.2]",4,0,2000-01,13,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,UTA,11,30,1
Jump Shot,Jump Shot,"(88.64, 108.56]","(156.4, 189.8]",2,0,2000-01,20,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,VAN,11,210,0
Jump Shot,Jump Shot,"(-30.88, -10.96]","(256.6, 290.0]",2,0,2000-01,27,1.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,VAN,11,4,0
Jump Shot,Jump Shot,"(-190.24, -170.32]","(56.2, 89.6]",3,0,2000-01,18,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,VAN,11,672,0
Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",3,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,VAN,11,613,0
Jump Shot,Jump Shot,"(148.4, 168.32]","(123.0, 156.4]",3,0,2000-01,20,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,VAN,11,539,0
Jump Shot,Jump Shot,"(48.8, 68.72]","(-10.6, 22.8]",3,0,2000-01,5,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,VAN,11,509,0
Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",3,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,VAN,11,201,0
Reverse Dunk Shot,Dunk,"(-10.96, 8.96]","(-10.6, 22.8]",3,0,2000-01,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,VAN,11,175,0
Slam Dunk Shot,Dunk,"(-10.96, 8.96]","(-10.6, 22.8]",3,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,VAN,11,158,0
Jump Shot,Jump Shot,"(108.56, 128.48]","(89.6, 123.0]",4,0,2000-01,17,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,VAN,11,295,0
Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",4,0,2000-01,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,VAN,11,68,0
Layup Shot,Layup,"(-30.88, -10.96]","(-10.6, 22.8]",4,0,2000-01,1,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,VAN,11,66,0
Jump Shot,Jump Shot,"(8.96, 28.88]","(56.2, 89.6]",1,0,2000-01,7,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,LAC,11,633,1
Jump Shot,Jump Shot,"(-190.24, -170.32]","(-10.6, 22.8]",1,0,2000-01,18,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,LAC,11,604,1
